=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.06 19:22:35 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32c3-api1-20210207
.46, Y: 4.17, Z: 10.22
Acceleration X: -1.33, Y: 1.89, Z: 11.40 m/s^2
Rotation X: -0.25, Y: 0.01, Z: 0.10 rad/s

Acceleration X: -6.19, Y: -2.42, Z: 10.08 m/s^2
Rotation X: 0.25, Y: 0.43, Z: -0.09 rad/s

Acceleration X: -4.32, Y: -1.98, Z: 10.84 m/s^2
Rotation X: 0.36, Y: 0.11, Z: -0.21 rad/s

Acceleration X: -2.20, Y: 2.78, Z: 12.36 m/s^2
Rotation X: -0.26, Y: 0.27, Z: -0.29 rad/s

Acceleration X: -1.23, Y: 4.20, Z: 10.60 m/s^2
Rotation X: -0.17, Y: -0.29, Z: 0.07 rad/s

Acceleration X: -3.03, Y: 0.52, Z: 11.36 m/s^2
Rotation X: 0.30, Y: -0.05, Z: -0.25 rad/s

Acceleration X: -4.94, Y: -0.99, Z: 10.07 m/s^2
Rotation X: 0.08, Y: 0.05, Z: -0.17 rad/s

Acceleration X: -5.04, Y: -1.68, Z: 9.71 m/s^2
Rotation X: -0.15, Y: 0.23, Z: 0.27 rad/s

Acceleration X: -1.28, Y: 3.80, Z: 13.03 m/s^2
Rotation X: 0.33, Y: 0.00, Z: -0.74 rad/s

Acceleration X: -2.34, Y: 0.72, Z: 10.78 m/s^2
Rotation X: -0.17, Y: -0.05, Z: 0.35 rad/s

Acceleration X: -1.49, Y: 2.89, Z: 11.82 m/s^2
Rotation X: -0.32, Y: -0.07, Z: -0.06 rad/s

Acceleration X: -1.37, Y: 1.14, Z: 10.10 m/s^2
Rotation X: -0.08, Y: -0.11, Z: 0.03 rad/s

Acceleration X: -3.73, Y: 0.14, Z: 10.56 m/s^2
Rotation X: -0.11, Y: 0.00, Z: 0.29 rad/s

Acceleration X: -2.17, Y: 1.37, Z: 10.61 m/s^2
Rotation X: -0.10, Y: -0.58, Z: 0.75 rad/s

Acceleration X: -4.17, Y: -0.20, Z: 10.21 m/s^2
Rotation X: 0.10, Y: -0.12, Z: -0.39 rad/s

Acceleration X: -1.36, Y: 2.90, Z: 10.96 m/s^2
Rotation X: 0.27, Y: -0.10, Z: -0.75 rad/s

Acceleration X: -4.16, Y: 1.22, Z: 11.82 m/s^2
Rotation X: 0.38, Y: -0.67, Z: -0.43 rad/s

Acceleration X: -7.91, Y: -2.29, Z: 11.04 m/s^2
Rotation X: -0.64, Y: 0.20, Z: 0.52 rad/s

Acceleration X: 4.92, Y: 6.21, Z: 10.74 m/s^2
Rotation X: -0.19, Y: 0.10, Z: -0.38 rad/s

Acceleration X: -5.52, Y: -1.80, Z: 11.13 m/s^2
Rotation X: 0.48, Y: -0.27, Z: -0.50 rad/s

Acceleration X: 4.66, Y: 6.19, Z: 11.38 m/s^2
Rotation X: -0.33, Y: 0.27, Z: 0.36 rad/s

Acceleration X: -1.35, Y: 0.23, Z: 11.23 m/s^2
Rotation X: -0.21, Y: 0.15, Z: 0.53 rad/s

Acceleration X: 2.87, Y: 4.00, Z: 9.40 m/s^2
Rotation X: -0.32, Y: -0.17, Z: 0.64 rad/s

Acceleration X: -0.50, Y: 3.89, Z: 12.02 m/s^2
Rotation X: 0.17, Y: -0.23, Z: -1.02 rad/s

Acceleration X: -3.05, Y: -0.97, Z: 9.74 m/s^2
Rotation X: -0.08, Y: 0.66, Z: 0.52 rad/s

Acceleration X: 0.79, Y: 2.47, Z: 9.66 m/s^2
Rotation X: -0.78, Y: -0.30, Z: 0.96 rad/s

Acceleration X: -4.87, Y: -3.42, Z: 10.18 m/s^2
Rotation X: 0.31, Y: 0.56, Z: 0.45 rad/s

Acceleration X: -1.58, Y: 0.70, Z: 11.60 m/s^2
Rotation X: -0.05, Y: 0.01, Z: 0.01 rad/s

Acceleration X: -0.74, Y: 1.53, Z: 10.99 m/s^2
Rotation X: 0.02, Y: -0.08, Z: -0.09 rad/s

Acceleration X: -1.14, Y: 1.51, Z: 11.04 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -0.64, Y: 1.66, Z: 11.03 m/s^2
Rotation X: -0.05, Y: 0.02, Z: -0.01 rad/s

A
