=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.06 19:21:19 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32c3-api1-20210207
.88, Z: 10.94 m/s^2
Rotation X: 0.03, Y: 0.04, Z: -0.35 rad/s

Acceleration X: 5.05, Y: 1.37, Z: 10.08 m/s^2
Rotation X: -0.02, Y: -0.10, Z: -0.54 rad/s

Acceleration X: 4.21, Y: 0.89, Z: 10.24 m/s^2
Rotation X: -0.18, Y: -0.08, Z: -1.32 rad/s

Acceleration X: -3.88, Y: -2.18, Z: 14.05 m/s^2
Rotation X: -0.17, Y: 0.15, Z: -0.51 rad/s

Acceleration X: -1.62, Y: -0.52, Z: 12.08 m/s^2
Rotation X: -0.02, Y: -0.36, Z: -0.69 rad/s

Acceleration X: 3.19, Y: 1.00, Z: 10.78 m/s^2
Rotation X: -0.13, Y: -0.15, Z: -0.96 rad/s

Acceleration X: 2.78, Y: 0.62, Z: 10.70 m/s^2
Rotation X: -0.26, Y: -0.41, Z: -0.97 rad/s

Acceleration X: -1.78, Y: -1.47, Z: 11.16 m/s^2
Rotation X: 0.02, Y: -0.20, Z: -0.40 rad/s

Acceleration X: -0.90, Y: -0.61, Z: 11.73 m/s^2
Rotation X: 0.03, Y: -0.19, Z: 0.03 rad/s

Acceleration X: -1.12, Y: 0.55, Z: 11.65 m/s^2
Rotation X: 0.29, Y: 0.65, Z: 0.92 rad/s

Acceleration X: 2.04, Y: 0.79, Z: 10.70 m/s^2
Rotation X: -0.08, Y: 0.07, Z: 0.24 rad/s

Acceleration X: 3.50, Y: 0.72, Z: 10.27 m/s^2
Rotation X: -0.09, Y: 0.03, Z: 0.10 rad/s

Acceleration X: 2.63, Y: 0.63, Z: 10.35 m/s^2
Rotation X: 0.18, Y: -0.40, Z: 0.09 rad/s

Acceleration X: 0.02, Y: -0.22, Z: 11.63 m/s^2
Rotation X: 0.06, Y: -0.50, Z: -0.30 rad/s

Acceleration X: 2.71, Y: 0.24, Z: 11.20 m/s^2
Rotation X: 0.00, Y: -0.01, Z: 0.44 rad/s

Acceleration X: 2.96, Y: 0.90, Z: 10.59 m/s^2
Rotation X: 0.12, Y: 0.01, Z: 0.68 rad/s

Acceleration X: 6.85, Y: 2.39, Z: 8.56 m/s^2
Rotation X: 0.19, Y: -0.14, Z: 0.19 rad/s

Acceleration X: 2.47, Y: 1.16, Z: 11.92 m/s^2
Rotation X: 0.02, Y: -0.10, Z: -0.49 rad/s

Acceleration X: -3.28, Y: 1.28, Z: 12.95 m/s^2
Rotation X: -0.24, Y: -0.19, Z: -0.62 rad/s

Acceleration X: 1.13, Y: 2.46, Z: 10.67 m/s^2
Rotation X: -0.19, Y: 0.39, Z: -0.14 rad/s

Acceleration X: 5.49, Y: 2.48, Z: 9.85 m/s^2
Rotation X: 0.08, Y: -0.26, Z: -0.30 rad/s

Acceleration X: -1.23, Y: -0.58, Z: 10.70 m/s^2
Rotation X: -0.02, Y: -0.01, Z: 0.58 rad/s

Acceleration X: 2.47, Y: 0.89, Z: 10.51 m/s^2
Rotation X: 0.09, Y: 0.12, Z: 0.70 rad/s

Acceleration X: 2.40, Y: 0.51, Z: 10.45 m/s^2
Rotation X: -0.10, Y: 0.68, Z: 0.73 rad/s

Acceleration X: 9.00, Y: 4.73, Z: 5.56 m/s^2
Rotation X: 0.19, Y: 0.65, Z: 0.11 rad/s

Acceleration X: 1.40, Y: 0.89, Z: 11.31 m/s^2
Rotation X: 0.09, Y: -0.47, Z: 0.03 rad/s

Acceleration X: 3.48, Y: 2.10, Z: 10.74 m/s^2
Rotation X: 0.07, Y: -0.18, Z: -0.42 rad/s

Acceleration X: 1.98, Y: 1.00, Z: 10.56 m/s^2
Rotation X: -0.33, Y: 0.02, Z: -0.41 rad/s

Acceleration X: 0.46, Y: -1.21, Z: 11.36 m/s^2
Rotation X: -0.63, Y: 0.09, Z: -0.34 rad/s

Acceleration X: 2.46, Y: 0.50, Z: 11.01 m/s^2
Rotation X: -0.01, Y: -0.03, Z: 0.26 rad/s

Acceleration X: 4.55, Y: 1.45, Z: 10.50 m/s^2
Rotation X: 0.07, Y: 0.37, Z: 0.57 rad/s

Acceleration X: 1.18, Y: -0.97, Z: 12.16 m/s^2
Rotation X: -0.11, Y: -0.34, Z: -0.19 rad/s

Acceleration X: 0.09, Y: -1.02, Z: 12.23 m/s^2
Rotation X: -0.19, Y: 0.17, Z: 0.23 rad/s

Acceleration X: -0.07, Y: -1.82, Z: 11.74 m/s^2
Rotation X: -0.05, Y: 0.18, Z: 0.07 rad/s

Acceleration X: 0.11, Y: -0.24, Z: 12.11 m/s^2
Rotation X: 0.16, Y: 0.24, Z: -0.28 rad/s

Acceleration X: 2.98, Y: 0.28, Z: 10.11 m/s^2
Rotation X: -0.04, Y: 0.20, Z: -0.91 rad/s

Acceleration X: -0.80, Y: -1.23, Z: 11.46 m/s^2
Rotation X: -0.39, Y: -0.17, Z: -1.92 rad/s

Acceleration X: -1.22, Y: -0.77, Z: 11.46 m/s^2
Rotation X: -0.58, Y: -0.07, Z: -0.04 rad/s

Acceleration X: 6.34, Y: 3.46, Z: 10.64 m/s^2
Rotation X: 0.36, Y: -0.40, Z: -0.01 rad/s

Acceleration X: 2.23, Y: 0.65, Z: 10.20 m/s^2
Rotation X: 0.13, Y: -0.70, Z: -0.17 rad/s

Acceleration X: 2.67, Y: 3.24, Z: 9.06 m/s^2
Rotation X: 0.33, Y: 0.82, Z: 1.28 rad/s

Acceleration X: 4.77, Y: 2.08, Z: 10.89 m/s^2
Rotation X: -0.06, Y: -0.18, Z: 0.31 rad/s

Acceleration X: 0.39, Y: -1.57, Z: 12.06 m/s^2
Rotation X: 0.65, Y: -0.53, Z: -0.32 rad/s

Acceleration X: -0.37, Y: 1.71, Z: 11.16 m/s^2
Rotation X: 0.44, Y: 0.65, Z: 1.05 rad/s

Acceleration X: -0.41, Y: 0.26, Z: 11.06 m/s^2
Rotation X: 0.49, Y: -0.07, Z: -1.03 rad/s

Acceleration X: 2.97, Y: 0.21, Z: 10.27 m/s^2
Rotation X: 0.28, Y: -0.21, Z: -0.22 rad/s

Acceleration X: -0.18, Y: 2.06, Z: 10.99 m/s^2
Rotation X: 0.07, Y: 0.22, Z: 0.49 rad/s

Acceleration X: 1.08, Y: 4.35, Z: 11.91 m/s^2
Rotation X: 0.11, Y: 0.37, Z: 0.94 rad/s

Acceleration X: -0.61, Y: 0.03, Z: 12.12 m/s^2
Rotation X: -0.59, Y: 0.28, Z: -0.04 rad/s

Acceleration X: 0.23, Y: 0.07, Z: 8.94 m/s^2
Rotation X: 0.57, Y: 0.65, Z: 0.54 rad/s

Acceleration X: -1.58, Y: -0.07, Z: 10.56 m/s^2
Rotation X: 1.84, Y: -0.63, Z: -0.60 rad/s

Acceleration X: -0.79, Y: 1.14, Z: 10.68 m/s^2
Rotation X: -0.12, Y: 0.07, Z: 0.02 rad/s

Acceleration X: -1.97, Y: 0.27, Z: 10.62 m/s^2
Rotation X: 0.01, Y: -0.07, Z: 0.03 rad/s

Acceleration X: -0.66, Y: 1.36, Z: 11.01 m/s^2
Rotation X: -0.03, Y: -0.18, Z: 0.03 rad/s

Acceleration X: -0.18, Y: 1.64, Z: 11.15 m/s^2
Rotation X: -0.05, Y: 0.03, Z: 0.02 rad/s

A
