=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.06 19:18:47 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32c3-api1-20210207
 Y: -3.96, Z: 11.75 m/s^2
Acceleration X: 0.68, Y: -0.15, Z: 10.62 m/s^2
Rotation X: -0.35, Y: -0.41, Z: 0.54 rad/s

Acceleration X: 0.07, Y: 0.71, Z: 11.49 m/s^2
Rotation X: -0.24, Y: 0.00, Z: 0.81 rad/s

Acceleration X: -2.36, Y: 0.94, Z: 11.21 m/s^2
Rotation X: 0.70, Y: 0.03, Z: -0.87 rad/s

Acceleration X: 0.73, Y: -0.51, Z: 10.80 m/s^2
Rotation X: -0.50, Y: -0.17, Z: -0.83 rad/s

Acceleration X: -0.90, Y: 1.58, Z: 10.71 m/s^2
Rotation X: -0.24, Y: 0.14, Z: 0.78 rad/s

Acceleration X: -1.19, Y: 1.34, Z: 10.63 m/s^2
Rotation X: -0.16, Y: 0.11, Z: 0.48 rad/s

Acceleration X: -1.58, Y: 1.98, Z: 10.99 m/s^2
Rotation X: 0.33, Y: -0.16, Z: -0.25 rad/s

Acceleration X: -1.06, Y: 1.98, Z: 11.71 m/s^2
Rotation X: -0.17, Y: -0.08, Z: -1.34 rad/s

Acceleration X: 1.23, Y: 0.01, Z: 10.88 m/s^2
Rotation X: -0.33, Y: 0.01, Z: 0.01 rad/s

Acceleration X: 0.61, Y: 2.27, Z: 11.26 m/s^2
Rotation X: -0.24, Y: 0.16, Z: 0.95 rad/s

Acceleration X: -2.79, Y: 1.17, Z: 10.39 m/s^2
Rotation X: -0.21, Y: 0.21, Z: -0.58 rad/s

Acceleration X: -0.93, Y: 0.12, Z: 11.32 m/s^2
Rotation X: 0.02, Y: -0.23, Z: 0.28 rad/s

Acceleration X: 0.79, Y: -0.61, Z: 11.12 m/s^2
Rotation X: -0.07, Y: -0.04, Z: 0.01 rad/s

Acceleration X: 0.85, Y: -0.79, Z: 11.00 m/s^2
Rotation X: -0.04, Y: -0.01, Z: -0.01 rad/s

Acceleration X: 0.55, Y: -0.84, Z: 11.04 m/s^2
Rotation X: -0.07, Y: 0.03, Z: -0.12 rad/s

A
